Title,IMDB_ID,Subtitle,Status,Media Type,Remarks,Year,genre,runtime,director,plot,award,imdb_rating,release_date,directors
LIFE FLIGHT,tt0157233,,APP,FILM,THE NATIONAL GUARD BUREAU APPROVED USE OF AN APPROPRIATE HELICOPTER FOR THE PRODUCTION.,1987,,87 min,Donald W. Thompson,"Evangelistic in content and emphasis, Life Flight is an action-packed, family program about finding meaning in life.",,6.1,,nm0860078
LIMBO,tt0068860,,DEN,FILM,"NAVY TURNED DOWN REQUEST FOR LIMITED ASSISTANCE ON GROUNDS THAT IT SHOWED POW WIVES BEING UNFAITHFUL AND THAT COMPLETED FILM WOULD BE SHOWN IN NORTH VIETNAM AS SOON AS IT WAS RELEASED IN US. AND THE WIVES‘ INFIDELITY WOULD HURT POW MORALE, ESPECIALLY IF FILM HAD RECEIVED MILITARY SUPPORT.",1972,Drama,112 min,Mark Robson,Deals with the problems facing a group of women married to men who are missing in Vietnam action.,,6.3,01 Nov 1972,nm0733476
LONE STAR,tt0116905,,DEN,FILM,"ARMY OFFICE IN LA PROVIDED MUCH INFORMATION TO FILMMAKERS IN PREPRODUCTION. COMPANY WANTED TO SHOOT ON MILITARY BASE, BUT REFUSED TO SIGN AGREEMENT TO ALLOW ARMY PROJECT ADVISOR TO WATCH FILMING AND OFFER SUGGESTIONS FOR TECHNICAL CORRECTIONS. SO DID NOT RECEIVE COOPERATION, ARMY PA OFFICER DID CONSIDER HE HAD PROVIDED COURTESY ASSISTANCE",1996,"Drama, Mystery",135 min,John Sayles,"John Sayles' murder-mystery explores interpersonal and interracial tensions in Rio County, Texas. Sam Deeds is the local sheriff who is called to investigate a 40-year-old skeleton found in the desert....As Sam delves deeper into the town's dark secrets, he begins to learn more about his father, the legendary former sheriff Buddy Deeds, who replaced the corrupt Charlie Wade. While Sam puzzles out the long-past events surrounding the mystery corpse, he also longs to rekindle a romance with his old high-school flame. Sayles' complex characters are brought together as the tightly woven plot finally draws to its dramatic close.",Nominated for 1 Oscar. Another 15 wins & 18 nominations.,7.4,21 Jun 1996,nm0000626
LONE SURVIVOR,tt1091191,,APP,FILM,"APPROVED FILMING AT KIRTLAND AIR FORCE BASE, NEW MEXICO. REENACTED COMBAT AND RESCUE EFFORTS UTILIZING AIR FORCE PAVE HAWK, ARMY BLACK HAWK AND APACHE HELICOPTERS, AND AF PARARESCUE JUMPERS AND OTHER MILITARY PERSONNEL.",2013,"Action, Biography, Drama, War",121 min,Peter Berg,"Marcus Luttrell, a Navy Seal, and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. After running into mountain herders and capturing them, they were left with no choice but to follow their rules of engagement or be imprisoned. Now Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",Nominated for 2 Oscars. Another 6 wins & 14 nominations.,7.5,10 Jan 2014,nm0000916
"LONGEST DAY, THE",tt0056197,,APP,FILM,"ARMY, NAVY, AND MARINES GAVE FULL COOPERATION TO RECREATION OF D-DAY. HOWEVER, MASSIVE SCALE OF PRODUCTION SUPPORT RESULTED IN CONGRESSIONAL SCRUTINY AND CRITICISM. ASD(PA) ARTHUR SYLVESTER ORDERED AN INVESTIGATION OF WHOLE PROCESS. HIS NEW REGULATIONS REALLY CHANGED VERY LITTLE EXCEPT THAT FILMMAXERS NOW HAD TO REIMBURSE THE DOD FOR COSTS. ALSO, MILITARY EXTRAS MUST BE IN A LEAVE OR OFF-DUTY STATUS, AND BE HIRED BY THE PRODUCTION COMPANY. SOME POST PRODUCTION CONTROVERSY AROSE BECAUSE PRODUCER DARRYL ZANUCK REFUSED TO REMOVE A SCENE IN WHICH AMERICAN SOLDIERS KILL SOME GERMANS TRYING TO SURRENDER.",1962,"Action, Drama, History, War",178 min,"Ken Annakin, Andrew Marton, Gerd Oswald, Bernhard Wicki, Darryl F. Zanuck","Tells the story of the D-Day invasion of Normandy in WWII. There are dozens of characters, some seen only briefly, who together weave the story of five separate invasion points that made up the operation.",Won 2 Oscars. Another 6 wins & 6 nominations.,7.8,04 Oct 1962,"nm0002175,nm0554249,nm0652631,nm0926919,nm0953123"
LOVE FIELD,tt0104765,,DEN,FILM,"THE DEPARTMENT OF DEFENSE AND THE MDW AREA DENIED FILMING WITHIN ARLINGTON NATIONAL CEMETARY. IT WAS FELT THAT THE FILM HAD NO MILITARY THEME, AND DEPICTION OF CIVILIAN LAW ENFORCEMENT OPERATION DEPICTED INACCURATELY FOR THE SAKE OF ACTION AND DRAMA",1992,Drama,105 min,Jonathan Kaplan,"Dallas housewife Lurene Hallett's life revolves around the doings of Jacqueline Kennedy. She is devastated when President Kennedy is shot a few hours after she sees him arrive at Love Field. Despite her husband Ray's prohibition, she decides to attend the funeral in Washington D.C. Forced to travel by bus, she befriends Jonell, the young black daughter of Paul Couter. Sensing something wrong, her good intentioned interference leads the mixed race threesome on an increasingly difficult journey to Washington with both the police and Ray looking for them.",Nominated for 1 Oscar. Another 1 win & 3 nominations.,6.6,12 Feb 1993,nm0438279
M*A*S*H*,tt0068098,,OTH,TV,"NOW CLASSIC TALE OF DOCTORS IN KOREAN WAR FIELD HOSPITAL. FILMED IN CALIFORNIA ON FOX RANCH ASSISTANCE NOT REQUESTED,",1972.0,"Comedy, Drama, War",25 min,,"The 4077th Mobile Army Surgical Hospital is stuck in the middle of the Korean war. With little help from the circumstances they find themselves in, they are forced to make their own fun. Fond of practical jokes and revenge, the doctors, nurses, administrators, and soldiers often find ways of making wartime life bearable. Nevertheless, the war goes on,",Won 8 Golden Globes. Another 53 wins & 153 nominations.,8.4,17 Sep 1972,"nm0239291,nm0000257,nm0582401,nm0721728,nm0002195,nm0918659,nm0178114,nm0432925,nm0604702,nm0879000,nm0911926,nm0312205,nm0268286,nm0185173,nm0791027,nm0680097,nm0068691,nm0706347,nm0603286,nm0001773,nm0065596,nm0082676,nm0641400,nm0841416,nm0865709,nm0259589,nm0201375,nm0791206,nm0198991,nm0587706,nm0064593,nm0235902,nm0647010,nm0842830,nm0268026"
MAC AND ME ,tt0095560,,APP,TV,"THE NAVY, AIR FORCE, AND NASA APPROVED THE FILM AND THE DEPARTMENT DECIDED TO PROVIDE ONLY LIMITED ASSISTANCE, LIKE FILMING AT AIR NATIONAL GUARD FACILITY AT VAN NUYS.",1988,"Adventure, Family, Fantasy, Sci-Fi",95 min,Stewart Raffill,An alien trying to escape from NASA is befriended by a wheelchair-bound boy.,2 wins & 6 nominations.,3.4,12 Aug 1988,nm0706296
MACARTHUR,tt0076342,,APP,FILM,"APPROVED USE OF FILMING ON MILITARY INSTALLATIONS, INCLUDING WEST POINT. VERY POOR PORTRAYAL OF THE GENERAL, IN LARGE PART BECAUSE GREGORY PECK REFUSED TO PLAY CHARACTER WITH WARTS. DESPITE LONG CORRESPONDENCE, ONLY VERY LIMITED COOPERATION EXCEPT AT WEST POINT. DOCUMENTS IN GEORGETOWN UNIVERSITY LIBRARY SUID COLLECTION.",1977,"Biography, Drama, History, War",130 min,Joseph Sargent,"The story of General of the Army Douglas MacArthur, Supreme Allied Commander during World War II and United Nations Commander for the Korean War. ""MacArthur"" begins in 1942, following the fall of Phillipines, and covers the remarkable career of this military legend up through and including the Korean War and into MacArthur's days of forced retirement after being dismissed from his post by President Truman.",,6.6,15 Jul 1977,nm0765121
MAD BEAR ANDERSON,Never Made,,DEN,FILM,"THE ARMY DENIED THE FILM, CITING INACCURATE PORTRAYAL OF ARMY AND IT HAD NO INFORMATIONAL VALUE. NO RECORD OF FILM BEING MADE",,,,,,,,,
MADAME BUTTERFLY,tt0005682,,DEN,FILM,"PROBABLY THE FIRST FILM ON WHICH THE NAVY REFUSED TO ASSIST. STANDARD STORY OF AN AMERICAN NAVAL OFFICER VISITING JAPAN, SEDUCING JAPANESE GIRL, PRETENDING TO MARRY HER, AND THEN ABANDONING GIRL AND THEIR CHILD WHEN HE RETURNS TO US. AND GIRL KILLS SELF. NAVY THOUGHT THIS WAS A BAD IMAGE OF AN OFFICER AND SO REFUSED TO GIVE ACCESS TO A SHIP AND CREW.",1915,Drama,61 min,Sidney Olcott,The story of a Japanese woman and the tragedy that ensues when she loves an American naval officer.,,5.2,07 Nov 1915,nm0646058
MAGNUM P.I.,tt0639723,SOLO FLIGHT,DEN,TV,DOD DENIED RESEARCH AND USE OF SOME AERIAL COMBAT FOOTAGE,1987,"Action, Adventure, Crime, Drama, Mystery",48 min,John C. Flinn III,"Magnum goes on a soul-searching trek after a being terminated from a case he couldn't solve. His trip leads him to the top of a mountain where he spotted an old plane crash from WWII, only ...",,7.8,04 Feb 1987,nm0278082
MAGNUM P.I.,tt0639719,RESOLUTIONS: Part 1,APP,TV,THE NAVY APPROVED FILMING AT THE U.S. NAVAL ACADEMY.,1988,"Action, Adventure, Crime, Drama, Mystery",45 min,Burt Brinckerhoff,"Magnum returns to Virginia on vacation and reflects on his life, his marriage to Michelle and his experiences. He hastily returns to Hawaii when TV reporter Linda Lee Ellison is attacked.",,8.6,01 May 1988,nm0109455
MAGNUM P.I.,tt2242414,RESOLUTIONS: Part 2,APP,TV,THE NAVY APPROVED FILMING AT THE U.S. NAVAL ACADEMY.,1988,"Action, Adventure, Crime, Drama, Mystery",45 min,Burt Brinckerhoff,Someone special comes into Magnum's life. Robin Masters' identity is revealed. Magnum resigns his position at Robin's Nest and makes a life change. Rick gets married.,,8.8,01 May 1988,nm0109455
MAJOR DAD,tt0639892,JANE WAYNE DAY,APP,TV,"IMPORTANT NOTE: DOD/USMC SUPPORTED THIS SERIES FOR ALL FOUR SEASONS, THOUGH OFTEN THE SUPPORT WAS ONLY TECHNICAL ADVICE. VERY POSITIVE. EFFECTIVE USE OF COMEDY WHILE STILL TREATING MILITARY PERSONNEL WITH RESPECT. THE DEPARTMENT OF DEFENSE AND THE MARINE CORP APPROVED THE EPISODE AFTER THE PRODUCTION AGREED TO A HOLD HARMLESS AGREEMENT.",1989,"Comedy, Family",30 min,Linda Day,Polly is reluctantly initiated into the Marine wives club by joining a group of them for Jane Wayne Day -- a day each year where they get to experience a little what MArine training is like.,,7.1,23 Oct 1989,nm0206488
MAJOR DAD,tt0639910,WISH YOU WERE HERE,APP,TV,"IMPORTANT NOTE: DOD/USMC SUPPORTED THIS SERIES FOR ALL FOUR SEASONS, THOUGH OFTEN THE SUPPORT WAS ONLY TECHNICAL ADVICE. VERY POSITIVE. EFFECTIVE USE OF COMEDY WHILE STILL TREATING MILITARY PERSONNEL WITH RESPECT. THE AIR FORCE APPROVED FOR TAPING OF INTERIOR AND EXTERIOR SHOTS OF THE ANDREWS AIF FORCE BASE PASSENGER TERMINAL. IN DOD FILES, SOME EPISODES NOT IDENTIFIED.",1990,"Comedy, Family",30 min,Michael Lembeck,"After being dumped by his girlfriend back home, Lt. Holowachuk's work becomes sloppy, and once Polly finds out, she sets him up on a blind date. Elizabeth and Robin enter a contest to win a mountain bike.",,7.1,12 Nov 1990,nm0501185
MAJOR MOVIE STAR,tt1034320,,APP,FILM,"APPROVED FILMING AT NATIONAL GUARD CAMP MINDEN, LA, FOR APPROXIMATELY 20 DAYS. INVOLVES ARMY VEHICLES (TRUCKS, HUMVEES, ETC) AND OPERATORS; OFF-DUTY SOLDIERS, ACCESS TO TRAINING AREAS SUCH AS BAYONET ASSAULT COURSE.",2008,"Adventure, Comedy, Drama, War",98 min,Steve Miner,"When fluffy, bubble gum movie star Megan Valentine suddenly finds herself broke and humiliated in the public eye, she wanders from the wreckage of a car accident and witlessly enlists in the U.S. Army hoping in vain that it will change her life.",,4.3,07 Nov 2008,nm0591171
MAJOR PAYNE,tt0110443,,DEN,FILM,ANOTHER WARRIOR OUT OF BATTLE STORY. PATTON-LIKE MARINE WHO HAS NOTHING TO DO IN PEACETIME. TAKES OVER SCHOOL AND BECOMES HUMANIZED,1995,"Adventure, Comedy, Family",95 min,Nick Castle,"Major Benson Winifred Payne is being discharged from the Marines. Payne is a killin' machine, but the wars of the world are no longer fought on the battlefield. A career Marine, he has no idea what to do as a civilian, so his commander finds him a job - commanding officer of a local school's JROTC program, a bunch or ragtag losers with no hope. Using such teaching tools as live grenades and real bullets, Payne starts to instill the Corps with some hope. But when Payne is recalled to fight in Bosnia, will he leave the Corps that has just started to believe in him, or will he find out that killin' ain't much of a livin'?",,6.3,24 Mar 1995,nm0145309
MANCHURIAN CANDIDATE,tt0056218,,LIM,FILM,DOD GAVE LIMITED ASSISTANCE TO HELP RECREATE OPENING POW SEQUENCE. STORY OF BRAINWASHED POW WHOM THE COMMUNISTS ARE USING AS A PROGRAMMED KILLER,1962,"Drama, Thriller",126 min,John Frankenheimer,"Major Ben Marco (Frank Sinatra) is an intelligence officer in the U.S. Army. He served valiantly as a captain in the Korean war and his Sergeant, Raymond Shaw (Laurence Harvey), even won the Medal of Honor. Marco has a major problem however: he has a recurring nightmare, one where two members of his squad are killed by Shaw. He's put on indefinite sick leave and visits Shaw in New York. Shaw for his part has established himself well, despite the misgivings of his domineering mother, Mrs. Eleanor Shaw Iselin (Angela Lansbury). She is a red-baiter, accusing anyone who disagrees with her right-wing reactionary views of being a Communist. Raymond hates her, not only for how she's treated him but equally because of his step-father, the ineffectual U.S. Senator John Iselin (James Gregory), who is intent on seeking higher office. When Marco learns that others in his Korean War unit have nightmares similar to his own, he realizes that something happened to all of them in Korea and that Raymond Shaw is the focal point.",Nominated for 2 Oscars. Another 5 wins & 6 nominations.,7.9,24 Oct 1962,nm0001239
MARGARET BOURKE-WHITE,tt0097834,,APP,TV,STOCK FOOTAGE WAS MADE AVAILABLE TO THE PRODUCTION AT NO EXTRA EXPENSES TO THE GOVERNMENT,1989,"Biography, Drama",105 min,Lawrence Schiller,Biographical account of pioneering photographer's career.,Nominated for 1 Primetime Emmy. Another 1 win.,7.1,24 Apr 1989,nm0771659
MARINE RAIDERS,tt0037048,,APP,FILM,"TYPICAL WWII MARINE MOVIE, WITH FOCUS ON TRAINING FOR COMMANDO ATTACK. FULL MARINE COOPERATION AT MARINE CORPS BASE, PENDLETON",1944,"Action, Drama, Romance, War",90 min,Harold D. Schuster,"A U.S. Marine major tries to keep his captain on the right track through combat on Guadalcanal, training new recruits in San Diego, and a relationship with a WAAAF while on leave in Australia.",,5.8,11 Jul 1944,nm0776838
"MARINES, LET'S GO",tt0055144,,LIM,FILM,"MARINE CORPS DID NOT WANT TO COOPERATE WITH STORY SET ON KOREAN WAR BATTLEFIELDS AND COMEDY OLIRINS LEAVE IN TOKYO. HOWEVER, THE MARINES FELT THEY OWEO DIRECTOR RAOUL WALSH FOR THE EARLIER ”WHAT PRICE GLORY"" ANO ""BATTLE CRY"" AND SO GAVE HIM SOME MEN AND EQUIPMENT AT MARINE CORPS BASE, PENDLETON",1961,"Comedy, Drama, War",103 min,Raoul Walsh,"Four privates romp their way through occupied Japan while on leave, finding a little romance and some laughs. After it's over they head to the front lines of the Korean War where brutality and death are constant.",,4.8,10 Nov 1961,nm0909825
MATINEE,tt0107529,,APP,FILM,"AUTHORIZED FILMING WITH FLORIDA NATIONAL GUARD TO SET UP A HAWK MISSILE BATTERY (ACTUALLY DONE DURING THE CUBAN MISSILE CRISIS}, AUTHORIZED FILMING NAVY HELICOPTER FLYING OVERHEAD, AUTHORIZED FILMING AT NAS KEY WEST. POSITIVE DEPICTION OF NAVY FAMILY, THOUGH NOT MUCH OF A MILITARY PRESENCE OTHERWISE",1993,"Comedy, Drama",99 min,Joe Dante,"A showman introduces a small coastal town to a unique movie experience and capitalises on the Cuban Missile crisis hysteria with a kitschy horror extravaganza combining film effects, stage props and actors in rubber suits in this salute to the B-movie.",1 win.,6.9,29 Jan 1993,nm0001102
"MCCONNELL STORY, THE",tt0048364,,APP,FILM,AIR FORCE GAVE FULL COOPERATION TO FICTIONALIZE BIOGRAPHY OF JET TEST PILOT AND HIS COMBAT IN KOREA,1955,"Drama, War",106 min,Gordon Douglas,"Mac's plans to settle down and raise a family are upset by the Korean War. He goes as a fighter pilot and returns a hero, the first triple ace of the war. His neighbors have built a home for Mac and his devoted wife and their three children. Now he has an offer to test pilot new Sabre Jets. His wife is uneasy but knows she cannot ground her man.",,6.4,02 Dec 1955,nm0235066
MCHALE'S NAVY,tt0058336,,LIM,FILM,BASED ON TELEVISION SERIES ABOUT A PT-BOAT NAVY PROVIDED LIMITED ASSISTANCE,1964,"Comedy, War",93 min,Edward Montagne,The crazy crew of McHale decide to use their PT boat as an off-track betting parlor and run in to lots of trouble when they owe money to some marines and a horse they bought causes a Japanese sub to run aground.,,6.6,01 Jun 1964,nm0598723
MEDAL OF HONOR,tt0468427,,APP,TV,ALL THE SERVICES AND THE DEPARTMENT APPROVED THE SCRIPT AFTER YEARS OF CONTROVERSY AND CHANGES. THE SCRIPT ALSO WENT THROUGH NUMEROUS CHANGES DURING THIS DRAWN OUT PROCESS FOR APPROVAL.,2000.0,"Action, Biography, Drama, History, Thriller, War",60 min,,"Hosted by Academy Award nominee Burt Reynolds (TV Series - episodes continuing). Medal of Honor is America's highest military award, authorized by President Lincoln on March 25, 1863 for bravery above and beyond the call of duty. Since that time there have been over 3,000 recipients, including one woman, a twelve year old boy, a father and son, a US President, one conscientious objector, Buffalo Bill Cody and nineteen (19) two-time recipients. (Sequel to Medal Of Honor (2000 - 2002)ongoing television series 2007 - 2012)",,7.9,11 Oct 2000,"nm0204920,nm0202835"
MEDICAL INVESTIGATION,tt0645498,ESCAPE,APP,TV,"APPROVED FILMING FOR ONE DAY AT NAVAL AIR STATION POINT MUGU, CA, ON AUGUST 2, WITH A NON-FLYING C-I30, VARIOUS NAVY VEHICLES, AND APPROXIMATELY 14 SAILORS AS EXTRAS.",2004,"Drama, Mystery",43 min,Marc Buckland,An island resort has an outbreak of a serious respiratory disease that resembles tuberculosis.,,7.5,24 Sep 2004,nm0118530
MEGAFORCE,tt0084316,,APP,FILM,"DONALD BARUCH APPROVAL. THE USE OF AIR FORCE'S C-130 AIRCRAFT ALONG WITH PERSONNEL WAS APPROVED, SINCE THE FILM POSED NO THREAT TO THE DEPARTMENT.",1982,"Action, Sci-Fi",99 min,Hal Needham,"Ace Hunter is the leader of Megaforce, an elite group of American soldiers who travel the world to fight Evil. In this case, Evil is represented by a third rate dictator who they must blow to bits.",3 nominations.,3.8,25 Jun 1982,nm0624102
MEMPHIS BELLE,tt0100133,SOUTHERN BELLE,DEN,FILM,THE AIR FORCE AND DOD TWICE REVIEWED THE SCRIPT AND FOUND IT BOTH TIMES TO HAVE INACCURATE PORTRAYALS. THE REQUEST FOR ASSISTANCE WAS LATER DENIED. FILM IS AN ABSURD PORTRAYAL OF BOMBING OF GERMANY. CONTAINED ALL THE CLICHES EVER INCLUDING IN AN AIR FORCE BOMBER MOVIE. ONLY CONNECTION WITH WYLER DOCUMENTARY IS USE OF COMBAT FOOTAGE. PILOT OF MEMPHIS BELLE THOUGHT COMPLETED FILM HAD NO RELATIONSHIP TO REALITY,1990,"Action, Drama, War",107 min,Michael Caton-Jones,"It's May 1943 at a US Army Air Corps base in England. The four officers and six enlisted men of the Memphis Belle - a B-17 bomber so nicknamed for the girlfriend of its stern and stoic captain, Dennis Dearborn - will soon start their twenty-fifth mission, having completed their previous twenty-four successfully with nary an incident, while fewer and fewer other planes are coming back from their missions at all. If they complete their next mission successfully, they will be the first Army Air Corps B-17 Crew to complete their tour of duty. Visiting communications officer Lt. Col. Bruce Derringer wants to publicize and highly tout their accomplishment, even before it happens, as a long term good news campaign at a time when there is little good news to report. Derringer's plan is against the wishes of the base commander, Col. Craig Harriman, who would prefer to treat the ten as any of his other hard working men. The previous success of the Memphis Belle is despite the disparate natures of the ten men, whose personalities and backgrounds could not be more different. Each of the ten has a differing view of Derringer's publicity campaign as well as to the probable success or failure of what will be their last mission regardless, a dangerous one into enemy territory over the skies of Bremen, Germany.",Nominated for 1 BAFTA Film Award. Another 1 win & 3 nominations.,6.9,12 Oct 1990,nm0001994
MEN OF THE FIGHTING LADY,tt0047230,,APP,FILM,"NAVY PROVIDED FULL COOPERATION FOR FILM BASED ON JAMES MICHENER'S ARTICLE ABOUT A CARRIER DURING THE KOREAN WAR. SHOWED THE REAL PILOTS (PORTRAYED BY ACTORS, OF COURSE) FLYING THE MISSIONS THE WRITER HAD DESCRIBED. SOME DRAMATIC LICENSE-ONE PILOT DID GUIDE A BLINDED PILOT TO A SAVE LANDING, BUT ON AN AIRFIELD, NOT A CARRIER",1954,"Drama, War",79 min,Andrew Marton,"A famous writer visits an aircraft carrier during the Korean war to learn more about it and the way it's run. He also gets to find out more about the Navy and Marine aviators themselves, their internal and external conflicts and dangers of their job.",,6.3,16 Dec 1954,nm0554249
MEN WITHOUT WOMEN,tt0021140,,APP,FILM,"JOHN FORD'S SUBMARINE MOVIE ABOUT AMERICANS VISITING SINGAPORE AND THEN BEING SUNK IN A COLLISION AND EFFORTS TO RESCUE THE CREW. NAVY PROVIDED A SUBMARINE AND ACTIVE DUTY TECHNICAL ADVISOR, EARLY SOUND FILM. JOHN WAYNE'S FIRST SPEAKING ROLE",1930,"Action, Drama",77 min,John Ford,"Aboard the U.S. submarine S13 in the China seas, Chief Torpedoman Burke goes about his duties. In actuality, he is Quartermaine, the infamous former commander of the British ship Royal Scot, which was sunk by Germans with a Field Marshal aboard. Quartermaine had told his sweetheart that the Field Marshal would be aboard, not knowing that she was an informant for the enemy. When the S13 sinks, Burke takes charge when the commander, Ensign Price, is unable to command. Burke must keep his mates alive long enough on the bottom of the sea for rescuers to arrive.",1 win.,5.8,09 Feb 1930,nm0000406
"MEN, THE",tt0042727,,APP,FILM,ARMY AND VETERANS ADMINISTRATION GAVE FULL COOPERATION FOR BRIEF COMBAT SEQUENCE IN WHICH MARLON BRANDO RECEIVES A PARALYZING WOUND AND FOR FILMING IN VETERANS HOSPITAL SHOWING HOW SERVICE WORKED TO REHABILITATE PARALYZED VETERANS. VERY FRANK DISCUSSION OF SEXUAL IMPOTENCE ARMY AND VA FELT IT HAD GOOD INFORMATIONAL VALUE. BRANDO'S FIRST FILM ROLE,1950,Drama,85 min,Fred Zinnemann,"Ex-GI Ken who as a result of a war wound is paralyzed below the waist. In the hospital back home, he passes through an initial period of depression with the help of a sympathetic Dr. Brock and his faithful fiancée Ellen. Ken's bitter isolation is also overcome with the help of his fellow patients, especially the intelligent young cynic Norm, the witty Leo and serious young Angel. Soon Ken throws himself into the work rehabilitation and after a long period of physical therapy even suspects he may regain the use of his limbs. With the approval and help of the doctor, he and Ellen marry, but on their wedding night both have misgivings about the marriage: the full realization of Ellen's new responsibilities frighten her and makes her more uncertain than ever, and Ken reverts to self-pity. There is a violent argument, and he goes back to the hospital. But his blazing anger finds no sympathy from his buddies, and after a surprising conversation with Dr. Brock, Ken realizes that he must return to his wife, with whom he must try to build his new life, in spite of all the attendant difficulties.",Nominated for 1 Oscar. Another 4 wins & 2 nominations.,7.1,25 Aug 1950,nm0003593
MERRILL'S MARAUDERS,tt0056234,,APP,FILM,"ARMY PROVIDED TECHNICAL ADVISOR, MEN, AND EQUIPMENT FOR FILM ABOUT FRANK MERRILL AND HIS SMALL BAND OF SOLDIERS FIGHTING IN THE BURMA JUNGLE AGAINST THE JAPANESE. TECHNICAL ADVISOR, GENERAL SAMUEL WILSON, WAS MERRILL'S EXECUTIVE OFFICER",1962,"Adventure, Drama, War",98 min,Samuel Fuller,"Brigadier General Frank D. Merrill leads the 3,000 American volunteers of his 5307th Composite Unit (Provisional), aka ""Merrill's Marauders"", behind Japanese lines across Burma to Myitkyina, pushing beyond their limits and fighting pitched battles at every strong-point.",,6.6,16 Mar 1962,nm0002087
"MESSENGER, THE",tt0790712,,APP,TV,"APPROVED FILMING FOR SEVERAL DAYS AT FORT DIX, NJ, INTERIOR AND EXTERIOR SITES. FILMING ALSO INCLUDES SEVERAL (ARMY) TRANSPORT VEHICLES AND DRIVERS, APPROXIMATELY 100 OFF-DUTY SOLDIERS IN UNIFORM AS PAID EXTRAS, AND SECOND UNIT PHOTOGRAPHY OF ROUTINE MILITARY ACTIVITY ON THE INSTALLATION.",2009,"Drama, Romance, War",113 min,Oren Moverman,"While on a recent deployment to Iraq, US Army Staff Sergeant Will Montgomery is injured when an improvised explosive device goes off within close proximity to him. He is back in the States recovering from the more serious of those injuries, including one to his eye and leg. He has resumed a sexual relationship with his long time girlfriend Kelly, despite the fact that she is now engaged to another man who Will knows. With the few months Will has left in his enlistment, the army assigns him to the Casualty Notification Team in his area. Not having a background in counseling, psychology or grief management, he is unsure if he is well suited to this job. He is partnered with a career soldier, Captain Tony Stone, who teaches Will the precise protocol involved in the job. Tony tells Will, who quickly learns by on the job experience, that this job has its own dangers. As Will learns to adapt to the range of emotions of the next of kin, he is unprepared for the reaction of Olivia Pitterson, whose husband was killed in Iraq. His initial encounter with Olivia leads to him wanting to get to know her better, which may not be in either her or his best interest. Despite being a recovering alcoholic, the more experienced Tony tries to guide Will as best he can under their collective circumstances.",Nominated for 2 Oscars. Another 17 wins & 44 nominations.,7.1,04 Dec 2009,nm0610219
MIAMI VICE,tt0647066,FREEFALL,DEN,TV,NOT IN THE BEST INTEREST OF THE DEPARTMENT OF DEFENSE. THE REQUEST COULD BE FULFILLED COMMERCIALLY.,1989,"Action, Crime, Drama, Mystery, Thriller",96 min,Russ Mayberry,"Crockett and Tubbs, figuring they're on their way out, are recruited by the government to help a dictator escape from his war-torn country - with double-crosses at every turn.",,8.3,21 May 1989,nm0562251
MIDSHIPMAN,tt0016109,,APP,FILM,"EARLY ANNAPOLIS FILM, ONE OF SERIES THAT HOLLYWOOD FILMED AT THE NAVAL ACADEMY IN THE 1920S AND 1930S TO CAPTURE COLOR AND EXCITEMENT OF CADETS, MARCHING, ETC,",1925,"Drama, Romance",80 min,Christy Cabanne,"Naval Academy upperclassman James Randall falls for Patricia Lawrence, a plebe's sister. She is engaged to the wealthy but ne'er-do-well Basil Courtney, who comes up with a scheme to discredit his rival that involves a ""loose"" woman and framing James for a technical violation that can get him kicked out of the Academy. Complications ensue.",,5.4,04 Oct 1925,nm0127511
MIDSHIPMAN JACK,tt0024336,,APP,FILM,ANOTHER ANNAPOLIS STORY WHICH NAVY ALLOWED TO BE FILMED AT ACADEMY,1933,"Action, Adventure, Drama, Romance",71 min,Christy Cabanne,"Given a last chance, after failing to graduate with his class at the United States Naval Academy in Annapolis,Maryland because he was reported by a jealous rival for being out after 'Taps,""...",,5.9,22 Sep 1933,nm0127511
MIDWAY,tt0074899,,APP,FILM,PORTRAYALS REASONABLY AND HISTORICALLY ACCURATE. APPROVED STOCK FOOTAGE AND USE OF THE AIRCRAFT CARRIER LEXINGTON OFF PENSACOLA FOR STATIONARY SCENES. NO FLYING SEQUENCES AS IN TORA! TORA! TORAL,1976,"Action, Drama, History, War",132 min,Jack Smight,"The summer of 1942 brought Naval stalemate to the Pacific as the American and Japanese fleets stood at even numbers each waiting for the other to begin a renewed offensive. ""Midway"" tells the story of this historic June battle where a Japanese carrier force, in an attempt to occupy Midway island and lure the American fleet to destruction, was meet valiently by US forces operating off of three aircraft carriers and numerous escort ships. It was the first battle in which naval air power was extensivly used, and at its conclusion the Japanese Carrier force had been completly destroyed which lead the way for the US 1943 and 44 offensives which would eventually bring the Pacific War to a close.",,6.8,18 Jun 1976,nm0806915
